station;latitude;longitude
Москва-Пассажирская-Ярославская;55.7784041;37.6567616
Третьяковская;55.7412838;37.6273084
Митино;55.8457543;37.3622259
Сретенский бульвар;55.7669878;37.6400865
Подмосковная;55.8145299;37.5269566
Марьина Роща;55.7955236;37.6163058
Достоевская;55.781477;37.6150777
Кресты;55.275827;37.1053916
Лефортово;55.7627946;37.7460652
Владыкино-Московское;55.847279;37.5962705
Новопролетарская;55.7242373;37.730944
Серебряный Бор;55.8031708;37.4954545
Курская;55.7571978;37.6593319
Белорусская;55.776702;37.583575
Белорусская;55.7761384;37.5840675
Москва-Товарная-Смоленская;55.7721776;37.5564951
Коньково;55.6331469;37.5189769
Канатчиково;55.7017698;37.591367
Пресня;55.7665972;37.5171072
Николаевка;55.7936401;37.6434145
Борисово;55.6333039;37.7437524
Зябликово;55.6122352;37.745179
Шипиловская;55.6210274;37.7436392
Москва-Пассажирская-Павелецкая;55.7290949;37.6410311
Новокосино;55.7450867;37.8637729
Лосиноостровская;55.8626438;37.6832905
Царицыно;55.6185151;37.6688476
Люблино-Сортировочное;55.6715844;37.7300731
Щербинка;55.5101252;37.5621844
Крёкшино;55.5778111;37.1097363
Бескудниково;55.882782;37.5677763
Крюково;55.9802209;37.1739643
Марк;55.9045015;37.5382527
Красный Строитель;55.5903775;37.615322
Перово;55.7358077;37.7644261
Фили;55.7440926;37.514551
Ховрино;55.8664304;37.5173934
Кусково;55.7397339;37.7953827
Тушинская;55.8270524;37.4410998
Дербеневская;55.7175334;37.6433584
Алма-Атинская;55.6327995;37.765935
Пятницкое шоссе;55.856143;37.3542024
Обменная;55.5890429;37.6738654
Крюково-Грузовое;56.0056281;37.193292
Жулебино;55.685438;37.8562939
Лермонтовский проспект;55.7016254;37.8519732
Лесопарковая;55.5820975;37.5768918
Битцевский парк;55.6002393;37.5563789
Москва-Пассажирская-Смоленская;55.7763133;37.5803618
Савёловская;55.7953011;37.5887086
Москва-Пассажирская-Киевская;55.7420034;37.5628449
Измайловская;55.7877328;37.7816023
Первомайская;55.7947265;37.7993959
Щёлковская;55.8093389;37.7986397
Москва-Товарная;55.8024495;37.6262201
Парк Победы;55.7365232;37.518219
Москва-Южный Порт;55.7051063;37.7143067
Чертаново;55.6239532;37.6320777
Тропарёво;55.6458332;37.4724773
Деловой центр;55.7491138;37.5391788
Андроновка;55.7411038;37.7330367
Румянцево;55.6329543;37.4416052
Саларьево;55.621922;37.4241868
Медведково;55.8800253;37.6121431
Фонвизинская;55.8228944;37.5876678
Ростокино;55.8427156;37.6569202
Минская;55.7247884;37.4968443
Ломоносовский проспект;55.7071424;37.5162362
Раменки;55.6975607;37.4985423
Бутырская;55.8133726;37.6025285
Киевская;55.7443009;37.5653751
Каширская;55.6549932;37.6488095
Кунцевская;55.7306795;37.4460224
Китай-город;55.7556518;37.6335649
Китай-город;55.7555863;37.6330592
Парк Культуры;55.7354915;37.5942726
Петровско-Разумовская;55.8346874;37.5748248
Петровско-Разумовская;55.8349897;37.5744209
Спартак;55.8183044;37.4357519
Алексеевская;55.8087525;37.6389375
Строгино;55.8037077;37.4031235
Волоколамская;55.8355134;37.3822424
Курская;55.7580386;37.6583423
Чкаловская;55.7567019;37.6569978
ВДНХ;55.8211135;37.6414259
Сокол;55.805267;37.5150534
Ховрино;55.8781525;37.4808537
Хорошёвская;55.7766946;37.5191367
Петровский Парк;55.7919222;37.5570925
ЦСКА;55.786561;37.5332007
Шелепиха;55.7571289;37.5240099
Деловой центр;55.7488741;37.5394343
Селигерская;55.8666119;37.5471803
Верхние Лихоборы;55.8561131;37.5613445
Окружная;55.8460256;37.5738294
Мичуринский проспект;55.6893341;37.4828443
Озёрная;55.6705052;37.4487297
Новопеределкино;55.639625;37.3551039
Рассказовка;55.6340295;37.3350858
Боровское шоссе;55.6477505;37.3704228
Солнцево;55.649569;37.3911002
Говорово;55.6595871;37.4173114
Нижегородская;55.7332794;37.7298142
Беломорская;55.8649644;37.4748773
Савёловская;55.7923287;37.5861196
Курьяново;55.6498349;37.70139
Солнечная;55.6572454;37.384817
Очаково I;55.6836351;37.4514951
Остафьево;55.4855891;37.5549248
Косино;55.7034168;37.8510317
Улица Дмитриевского;55.7102061;37.8798924
Лухмановская;55.7085042;37.9010161
Некрасовка;55.7028909;37.9281784
Новомосковская;55.5605675;37.4680062
Ольховая;55.568621;37.4593593
Прокшино;55.5862179;37.4338591
Филатов Луг;55.6015282;37.4074265
Красные Ворота;55.7690244;37.6489874
Крылатское;55.7565949;37.4081393
Окская;55.718342;37.7817628
Стахановская;55.7270259;37.7532528
Юго-Восточная;55.7050362;37.8189764
Лефортово;55.7647338;37.7067382
Авиамоторная;55.7535505;37.7192444
Нижегородская;55.7319234;37.7299863
Аэропорт;55.6099621;37.2660622
Электрозаводская;55.7802738;37.7029992
Белокаменная;55.8302048;37.7000597
Москва-Сортировочная-Киевская;55.7282829;37.5123234
Народное Ополчение;55.7757351;37.4857311
Мнёвники;55.7611845;37.471405
Аминьевская;55.698016;37.4696956
Бекасово-Сортировочное;55.4186086;36.8716977
Зюзино;55.6557778;37.5735524
Воронцовская;55.6588351;37.5394795
Новаторская;55.6700672;37.5217748
Проспект Вернадского;55.6784309;37.503929
Мичуринский проспект;55.6882968;37.4851908
Аминьевская;55.6971748;37.4649703
Давыдково;55.7151436;37.4517426
Кунцевская;55.7288677;37.4459847
Терехово;55.748029;37.4596435
Старопролетарская;55.7184749;37.7506123
Улица Сергея Эйзенштейна;55.8292427;37.6449117
Выставочный центр;55.8240041;37.6383273
Улица Академика Королёва;55.8218479;37.6270218
Телецентр;55.8218231;37.6089786
Улица Милашенкова;55.8218816;37.5912237
Тимирязевская;55.8189542;37.5788306
Варшавская;55.6533344;37.6195024
Кленовый бульвар;55.6747285;37.6816487
Нагатинский Затон;55.6843314;37.7043027
Печатники;55.6946059;37.727363
Текстильщики;55.706995;37.7284789
Марьина Роща;55.7965331;37.6164167
Рижская;55.7938888;37.6342788
Сокольники;55.7900022;37.6794778
Парк Победы;55.7361688;37.5179675
Кунцевская;55.7307628;37.4459818
Нижегородская;55.7317169;37.7297964
Каширская;55.6550857;37.6485829
Пыхтино;55.6245026;37.295668
Аэропорт Внуково;55.607309;37.2872762
Физтех;55.9216617;37.5465759
Яхромская;55.8798821;37.5454418
Лианозово;55.898115;37.544663
Потапово;55.5526397;37.4926836
Тютчевская;55.61905;37.4810854
Генерала Тюленева;55.6262046;37.4857715
