minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,distance_to_centre,type_secondary,price
1.0,3.0,90.0,60.0,20.0,8.0,13,5.15,1,41000000.0
14.0,3.0,123.8,61.4,34.0,1.0,16,7.14,1,46000000.0
4.0,3.0,110.0,80.0,20.0,6.0,8,3.46,1,55000000.0
7.0,3.0,90.0,60.0,20.0,14.0,25,8.35,1,58000000.0
13.0,3.0,112.0,58.8,15.9,17.0,25,6.55,1,64000000.0
7.0,3.0,102.9,12.4,15.2,3.0,9,0.94,1,67000000.0
3.0,3.0,100.9,76.9,12.9,16.0,22,3.46,1,70000000.0
6.0,3.0,160.0,110.0,25.0,3.0,10,1.77,1,69990000.0
9.0,3.0,102.0,10.7,15.1,7.0,9,1.76,1,69900000.0
11.0,3.0,141.5,36.0,18.3,2.0,8,1.76,1,93000000.0
11.0,3.0,100.0,52.7,14.9,7.0,18,3.46,1,96000000.0
7.0,3.0,126.6,66.1,17.1,6.0,27,3.06,1,99000000.0
7.0,3.0,135.0,10.0,17.8,4.0,8,1.42,1,129990000.0
15.0,3.0,100.0,52.7,14.9,18.0,21,3.46,1,139000000.0
3.0,3.0,135.0,80.0,20.0,4.0,12,1.69,1,165000000.0
5.0,3.0,160.0,83.0,19.9,47.0,54,3.43,1,194800000.0
3.0,3.0,67.6,9.0,12.2,5.0,12,6.89,1,27770000.0
22.0,3.0,60.1,20.0,11.6,8.0,30,7.62,1,30500000.0
5.0,3.0,94.1,49.7,14.4,20.0,23,13.2,1,33500000.0
2.0,3.0,130.2,10.0,17.4,6.0,17,11.08,1,47000000.0
3.0,3.0,146.0,75.9,18.7,4.0,9,1.69,1,115000000.0
25.0,3.0,100.0,15.0,14.9,18.0,21,5.0,1,139000000.0
10.0,3.0,125.3,10.0,17.0,6.0,14,4.8,1,155000000.0
6.0,3.0,94.1,48.1,14.4,2.0,8,0.94,1,153000000.0
5.0,4.0,155.0,120.0,20.0,6.0,7,1.42,1,146000000.0
3.0,4.0,153.0,102.0,14.0,6.0,7,1.42,1,146000000.0
6.0,4.0,200.0,103.2,23.2,4.0,6,3.06,1,145000000.0
15.0,4.0,143.0,74.4,18.5,13.0,20,3.46,1,159000000.0
10.0,4.0,187.0,27.0,22.1,7.0,11,3.93,1,180000000.0
11.0,4.0,108.6,64.0,9.0,2.0,9,0.8,1,125000000.0
9.0,4.0,405.0,265.6,49.3,20.0,21,7.14,1,289000000.0
14.0,4.0,115.6,65.0,14.1,3.0,14,8.35,1,61988000.0
20.0,4.0,92.8,49.0,14.3,8.0,14,8.35,1,69000000.0
13.0,4.0,109.0,90.0,10.0,2.0,9,0.8,1,125000000.0
15.0,4.0,170.0,88.1,20.7,2.0,5,2.32,1,170000000.0
6.0,4.0,113.0,59.3,16.0,4.0,44,6.55,1,42000000.0
7.0,4.0,316.0,161.9,32.8,6.0,6,3.06,1,270000000.0
13.0,4.0,89.0,50.0,20.0,8.0,44,3.46,1,59900000.0
11.0,4.0,216.0,152.0,20.0,4.0,6,0.82,1,350000000.0
10.0,4.0,167.8,60.0,20.5,20.0,21,3.46,1,190000000.0
19.0,4.0,97.9,65.0,10.0,6.0,12,11.06,1,40000000.0
4.0,4.0,84.8,59.0,10.0,2.0,8,0.15,1,67000000.0
17.0,4.0,135.7,69.1,9.4,2.0,41,5.15,1,80000000.0
15.0,4.0,138.3,84.2,6.5,24.0,41,5.15,1,83000000.0
15.0,4.0,112.8,64.0,14.3,10.0,41,5.15,1,110000000.0
16.0,4.0,225.0,115.9,25.3,5.0,20,3.06,1,120000000.0
