minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,first_floor,distance_to_centre,type_secondary,price
0.08333333333333333,0.25,0.09056467616814,0.09755665722379604,0.12066115702479338,0.0,0.037810945273631845,1.0,108800000.0
0.15,0.25,0.07983041674183655,0.10092067988668556,0.08347107438016528,0.0,0.02620232172470978,1.0,53000000.0
0.1,0.25,0.049431715677431,0.056834277620396605,0.09008264462809917,0.0,0.2122719734660033,1.0,44240000.0
0.1,0.25,0.12321847375067653,0.129957507082153,0.14545454545454548,0.0,0.09651741293532339,1.0,105000000.0
0.15,0.25,0.08605448313187804,0.10092067988668556,0.11570247933884298,0.0,0.09651741293532339,1.0,47000000.0
0.1,0.25,0.09254916110409525,0.06728045325779038,0.12231404958677687,0.0,0.09651741293532339,1.0,67990000.0
0.16666666666666666,0.25,0.09796139274760961,0.08675637393767706,0.04132231404958678,0.0,0.04212271973466003,1.0,170000000.0
0.15,0.25,0.20638643333934692,0.2746104815864023,0.13388429752066114,0.0,0.154228855721393,1.0,224900000.0
0.18333333333333332,0.25,0.07541042756629984,0.12039660056657225,0.15702479338842976,0.0,0.19004975124378107,1.0,52500000.0
0.21666666666666667,0.25,0.09074508388959047,0.12924929178470257,0.19834710743801653,0.0,0.32769485903814255,1.0,38000000.0
0.18333333333333332,0.25,0.0699981959227855,0.09206798866855524,0.05785123966942149,0.0,0.02155887230514096,1.0,95700000.0
0.11666666666666667,0.25,0.06774309940465452,0.08445467422096319,0.09504132231404959,0.0,0.2431177446102819,1.0,22450000.0
0.016666666666666666,0.25,0.08623489085332853,0.1274787535410765,0.15702479338842976,0.0,0.16583747927031509,1.0,67000000.0
0.16666666666666666,0.25,0.06197005231823922,0.06515580736543909,0.10330578512396695,0.0,0.712106135986733,1.0,17500000.0
0.08333333333333333,0.25,0.08867039509290998,0.06728045325779038,0.2396694214876033,0.0,0.32205638474295184,1.0,41500000.0
0.4666666666666667,0.25,0.055565578206747256,0.017705382436260624,0.09421487603305785,0.0,0.27197346600331673,1.0,46000000.0
0.18333333333333332,0.25,0.11961031932166698,0.12641643059490087,0.14297520661157026,0.0,0.154228855721393,1.0,179000000.0
0.13333333333333333,0.25,0.20620602561789647,0.27443342776203966,0.20826446280991734,0.0,0.154228855721393,1.0,222000000.0
0.13333333333333333,0.25,0.06900595345480787,0.0817988668555241,0.1652892561983471,0.0,0.3781094527363184,1.0,39900000.0
0.11666666666666667,0.25,0.06070719826808588,0.06728045325779038,0.03305785123966942,0.0,0.16583747927031509,1.0,39000000.0
0.08333333333333333,0.25,0.09372181129352336,0.10074362606232296,0.1231404958677686,0.0,0.3701492537313433,1.0,51000000.0
0.08333333333333333,0.25,0.07992062060256179,0.08711048158640228,0.11322314049586776,0.0,0.154228855721393,1.0,145000000.0
